       8:81 -- 7c 09|30 -- -- --|ff -- 5e 08|-- -- -- --|-- -- -- --|-- -- -- --|
      68:-- -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      60:-- -- 3f 09|-- -- -- --|-- -- 3f 08|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- fd 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- 7c 09|-- -- -- --|-- -- 46 08|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- e1 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- e1 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- 7c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- d5 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- fd 08|-- -- -- --|-- -- 4f 08|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- d5 08|-- -- -- --|-- -- 54 08|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- 7c 09|-- -- -- --|-- -- 5e 08|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- ef 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- 3f 09|-- -- -- --|-- -- 6a 08|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- ef 08|-- -- -- --|-- -- 77 08|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- 52 09|-- -- -- --|-- -- 6a 08|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- d5 08|-- -- -- --|-- -- 7e 08|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- fd 08|-- -- -- --|-- -- 54 08|-- -- -- --|-- -- -- --|-- -- -- --|
      64:-- -- d5 08|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
