       4:7f -- 8e 08|7e -- 1c 09|-- -- -- --|30* -- -- --|-- -- -- --|-- 0f* -- --|
      24:7e -- -- --|7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      24:7d -- -- --|7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7c -- -- --|7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      44:7b -- -- --|7a -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      44:7c -- -- --|7b -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      44:7d -- -- --|7c -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      44:7e -- -- --|7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      88:7a* -- -- --|79* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       8:79* -- -- --|78* -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|77 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:75 -- -- --|75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:74 -- -- --|74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:7f 88 8e 08|-- 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:7a -- -- --|79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|78 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:7a -- -- --|79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:7a -- -- --|79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
       4:-- -- -- --|7e -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
      16:7e -- -- --|7d -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      20:7a -- -- --|79 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:79 -- -- --|78 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:78 -- -- --|77 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:76 -- -- --|76 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:74 -- -- --|74 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
      16:75 -- -- --|75 -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|-- -- -- --|
       4:7f 88 8e 08|-- 88 1c 09|-- -- -- --|-- -- -- --|-- -- -- --|-- 0f -- --|
